team,confederation
France,UEFA
Spain,UEFA
England,UEFA
Germany,UEFA
Portugal,UEFA
Netherlands,UEFA
Belgium,UEFA
Italy,UEFA
Croatia,UEFA
Switzerland,UEFA
Denmark,UEFA
Austria,UEFA
Turkey,UEFA
Serbia,UEFA
Ukraine,UEFA
Hungary,UEFA
Czech Republic,UEFA
Scotland,UEFA
Poland,UEFA
Romania,UEFA
Slovakia,UEFA
Slovenia,UEFA
Albania,UEFA
Norway,UEFA
Sweden,UEFA
Bosnia and Herzegovina,UEFA
Georgia,UEFA
Argentina,CONMEBOL
Brazil,CONMEBOL
Uruguay,CONMEBOL
Colombia,CONMEBOL
Ecuador,CONMEBOL
Venezuela,CONMEBOL
Paraguay,CONMEBOL
Chile,CONMEBOL
Bolivia,CONMEBOL
Peru,CONMEBOL
United States,CONCACAF
Mexico,CONCACAF
Canada,CONCACAF
Costa Rica,CONCACAF
Jamaica,CONCACAF
Honduras,CONCACAF
Panama,CONCACAF
Haiti,CONCACAF
Cuba,CONCACAF
Trinidad and Tobago,CONCACAF
Guatemala,CONCACAF
El Salvador,CONCACAF
Curaçao,CONCACAF
Morocco,CAF
Senegal,CAF
Cameroon,CAF
Nigeria,CAF
Egypt,CAF
South Africa,CAF
Ivory Coast,CAF
Mali,CAF
Algeria,CAF
Tunisia,CAF
Ghana,CAF
Angola,CAF
Tanzania,CAF
Benin,CAF
Comoros,CAF
DR Congo,CAF
Cape Verde,CAF
Japan,AFC
South Korea,AFC
Iran,AFC
Saudi Arabia,AFC
Australia,AFC
Qatar,AFC
Uzbekistan,AFC
Iraq,AFC
Jordan,AFC
Oman,AFC
Indonesia,AFC
New Zealand,OFC
