team,elo
Spain,1916.5142368226875
Argentina,1900.9567967467847
France,1867.8525468248645
England,1832.24600764143
Brazil,1826.248187804055
Colombia,1824.3887901819862
Portugal,1806.3742063019906
Ecuador,1804.4200178770611
Netherlands,1795.169652847928
Japan,1794.699732482895
Morocco,1787.556792142812
Germany,1778.0774333023053
Uruguay,1777.8465932778397
Croatia,1776.3720025353784
Mexico,1773.8951883183233
Norway,1758.8968274590766
Turkey,1756.3935571716145
Senegal,1755.8633268266337
Switzerland,1751.8998301777942
Australia,1743.983417053027
Paraguay,1741.4578570505523
Belgium,1739.7694004913674
Denmark,1736.7528298698805
Canada,1733.1180388268676
Italy,1730.3460673412292
Iran,1730.0718181593325
South Korea,1725.3566202545037
Nigeria,1718.4681987306624
Panama,1716.3727165410487
Austria,1711.8334772369712
Algeria,1711.1160502686753
Uzbekistan,1701.139215313827
United States,1691.9785590699219
Russia,1690.377643881786
Jersey,1684.6973470302275
Venezuela,1683.5347921702555
Serbia,1682.015320200562
Egypt,1681.3930096463503
Ukraine,1679.1163916411638
Scotland,1676.5804763424767
Ivory Coast,1675.207937318959
Jordan,1672.6180758089984
Chile,1670.1370080743122
Greece,1667.27697310647
DR Congo,1659.1919545722944
Poland,1654.8869403492922
New Zealand,1652.1127664516105
Costa Rica,1652.0121777187194
Peru,1651.3973684027603
Czech Republic,1649.9900738073754
Guernsey,1649.0622121939655
Kosovo,1647.0168486674463
Sweden,1646.901385820223
Tunisia,1646.7537070190326
Iraq,1646.4476468396672
Bolivia,1639.7296145259345
Hungary,1636.7885664827793
Wales,1636.3036415421752
Cameroon,1632.680260337835
Slovenia,1629.8901025053403
Republic of Ireland,1629.7304670991875
Honduras,1629.56525394734
Mali,1627.6978726053082
Isle of Man,1626.734453001078
Basque Country,1623.7955488948912
Haiti,1620.373005554695
Northern Cyprus,1618.5145914924678
Slovakia,1618.5011774724483
Padania,1614.2763435627644
Saudi Arabia,1611.893916026211
Jamaica,1609.7660229684134
Occitania,1608.8388261945804
Georgia,1605.716895455081
Albania,1603.7188273510042
United Arab Emirates,1601.6776659444242
Guatemala,1600.356752847978
Isle of Wight,1595.3877670594468
South Africa,1593.3940474100636
Cape Verde,1593.265522908126
Romania,1593.1590007383377
Burkina Faso,1592.4064057796097
Israel,1591.8407672346304
Catalonia,1586.8129305797327
Iraqi Kurdistan,1586.3409246439642
Ynys Môn,1584.4517309337475
Abkhazia,1573.8356329429266
Yugoslavia,1573.662538082368
Northern Ireland,1572.9226814660105
Syria,1571.8898072587147
Ghana,1571.1877293147738
Curaçao,1570.2128735701624
North Macedonia,1570.1992113560048
Bosnia and Herzegovina,1569.2465167284163
Czechoslovakia,1568.9487621057376
Kernow,1562.7353032515578
Kárpátalja,1562.7140189282316
Iceland,1561.4919808675388
Oman,1561.1887927444036
Palestine,1560.983520277331
New Caledonia,1560.9212767794088
Suriname,1559.2440594142975
Réunion,1557.8950836868846
Rhodes,1554.0868795427457
County of Nice,1553.3802083858645
Andalusia,1551.3222804377194
Guinea,1550.4218783727645
Panjab,1550.1842475482858
Angola,1549.7350579591885
Qatar,1545.3906605833924
Finland,1544.9739322185135
Menorca,1540.5772868534104
Ellan Vannin,1540.2102858048277
China PR,1534.5816373445227
Benin,1533.726596423934
Artsakh,1532.6395644165877
Bahrain,1530.9999813535762
Trinidad and Tobago,1530.9395658854087
Yorkshire,1529.6160293934483
Chameria,1529.5061222726326
Zambia,1528.7665624034664
Thailand,1528.5590116222809
Arameans Suryoye,1526.7620856905523
Cascadia,1525.0685816694518
Gambia,1525.0036936066995
Belarus,1524.529794373174
German DR,1524.1430107901188
Zanzibar,1521.7204169370077
Guadeloupe,1519.3308051440363
Libya,1518.1808231064606
Corsica,1517.6393250540534
Bulgaria,1515.917227649556
Maule Sur,1514.7010650471311
Gabon,1512.4582139035165
Tahiti,1511.5282829207722
Western Armenia,1509.89741053072
Galicia,1509.3218768160368
Surrey,1507.4900091464965
Uganda,1506.9576488134599
Biafra,1506.7137522262108
Madagascar,1506.6185873970028
Nicaragua,1506.1377670918105
Parishes of Jersey,1506.107059620238
Shetland,1505.7768527635103
Niger,1505.1796219283983
Crimea,1504.7287795307698
Donetsk PR,1504.5779102356423
Felvidék,1504.1020148303128
Canary Islands,1504.0280948212383
Guyana,1503.7953497617443
Mapuche,1502.8830106332173
Tamil Eelam,1502.7415928771852
North Korea,1502.1327147216064
Elba Island,1501.9425796197022
El Salvador,1500.685817118301
Mozambique,1500.2393464958163
Silesia,1500.2196227616955
United Koreans in Japan,1500.0926840553175
Brittany,1499.860901568341
Malaysia,1498.117113112158
Délvidék,1498.065852227556
Dominican Republic,1495.0306228092347
West Papua,1494.9796137712826
Saugeais,1494.7396152987635
Indonesia,1493.013841951987
Sápmi,1492.828760236236
Cilento,1492.3121599314575
Western Sahara,1491.7982972579682
Luhansk PR,1491.5563553949014
Madrid,1491.5467664267492
Martinique,1491.4441698452874
Sealand,1490.75338798064
Vietnam,1490.662603121095
Székely Land,1490.0391360928884
Seborga,1489.8425425436178
Kazakhstan,1489.0556909639838
Matabeleland,1488.5450360760885
Togo,1488.451058276849
Yoruba Nation,1488.1038630656803
South Ossetia,1487.595288957264
Republic of St. Pauli,1487.2680266971947
Comoros,1486.9896238978386
Franconia,1485.1817052744905
Sierra Leone,1484.9457740430912
Somaliland,1484.836107937956
Provence,1484.2938365757154
Åland Islands,1484.0807079242973
Greenland,1483.9107760008505
Kenya,1483.4474729288715
Sudan,1483.2069765047881
Zimbabwe,1483.0911113577579
Kuwait,1482.9660614749996
Ryūkyū,1482.6937133072527
Gozo,1481.1067873627576
Mayotte,1478.8706906025216
Montenegro,1478.2426500093975
Romani people,1476.9779592892182
Kyrgyzstan,1476.826020883709
Lebanon,1476.0173096286314
Aymara,1475.9542861504017
Papua New Guinea,1474.717820679633
Kabylia,1472.095527183493
Tajikistan,1472.068867083305
Hmong,1471.8324213325689
Equatorial Guinea,1471.5360021005918
Monaco,1469.631731182225
Chechnya,1468.8865780943968
Rwanda,1467.4648943438308
Gotland,1467.2783725882302
