team,elo
Spain,1916.5142368226875
Argentina,1900.9567967467847
France,1867.8525468248645
England,1832.24600764143
Brazil,1826.248187804055
Colombia,1824.3887901819862
Portugal,1806.3742063019906
Ecuador,1804.4200178770611
Netherlands,1795.169652847928
Japan,1794.699732482895
Morocco,1787.556792142812
Germany,1778.0774333023053
Uruguay,1777.8465932778397
Croatia,1776.3720025353784
Mexico,1773.8951883183233
Norway,1758.8968274590766
Turkey,1756.3935571716145
Senegal,1755.8633268266337
Switzerland,1751.8998301777942
Australia,1743.983417053027
Paraguay,1741.4578570505523
Belgium,1739.7694004913674
Canada,1733.1180388268676
Iran,1730.0718181593325
South Korea,1725.3566202545037
Panama,1716.3727165410487
Austria,1711.8334772369712
Algeria,1711.1160502686753
Uzbekistan,1701.139215313827
United States,1691.9785590699219
Egypt,1681.3930096463503
Scotland,1676.5804763424767
Ivory Coast,1675.207937318959
Jordan,1672.6180758089984
DR Congo,1659.1919545722944
New Zealand,1652.1127664516105
Czech Republic,1649.9900738073754
Sweden,1646.901385820223
Tunisia,1646.7537070190326
Iraq,1646.4476468396672
Haiti,1620.373005554695
Saudi Arabia,1611.893916026211
South Africa,1593.3940474100636
Cape Verde,1593.265522908126
Ghana,1571.1877293147738
Curaçao,1570.2128735701624
Bosnia and Herzegovina,1569.2465167284163
Qatar,1545.3906605833924
