Team,R32 %,R16 %,QF %,SF %,Final %,Winner %
Spain,99.1,56.2,40.2,27.6,18.6,18.6
Argentina,96.6,52.5,37.0,24.5,15.8,15.8
France,93.5,42.9,27.1,16.5,9.4,9.4
England,94.2,36.7,21.5,12.2,6.2,6.2
Brazil,92.5,35.9,20.5,11.3,5.8,5.8
Colombia,88.4,33.8,19.2,10.7,5.3,5.3
Ecuador,92.5,31.5,16.7,8.1,3.9,3.9
Portugal,86.2,29.1,15.8,8.0,3.8,3.8
Netherlands,88.9,28.4,14.8,7.1,3.1,3.1
Japan,87.1,27.6,14.1,6.8,2.7,2.7
Morocco,86.8,26.1,12.7,6.0,2.7,2.7
Germany,90.7,25.7,12.6,5.8,2.3,2.3
Uruguay,87.7,24.4,11.9,5.3,2.2,2.2
Mexico,96.2,26.0,11.9,5.0,2.2,2.2
Croatia,85.7,23.4,11.3,4.9,2.1,2.1
Switzerland,92.0,22.6,10.2,4.0,1.7,1.7
Senegal,72.2,17.3,7.4,3.3,1.4,1.4
Norway,72.1,18.0,8.2,3.3,1.1,1.1
Turkey,69.1,17.3,7.7,2.9,1.1,1.1
Belgium,80.6,18.1,7.1,2.8,1.0,1.0
Canada,96.6,20.3,8.1,3.0,1.0,1.0
Paraguay,64.4,14.6,6.2,2.5,0.9,0.9
Australia,66.1,14.9,6.4,2.5,0.9,0.9
South Korea,79.7,15.8,6.1,2.1,0.8,0.8
Iran,77.1,15.6,6.2,2.4,0.8,0.8
Panama,70.3,13.2,5.0,1.8,0.6,0.6
Algeria,59.7,10.8,4.0,1.3,0.5,0.5
Austria,60.5,11.2,4.0,1.2,0.4,0.4
Uzbekistan,53.8,8.4,3.0,0.9,0.3,0.3
United States,73.7,11.1,3.6,1.1,0.3,0.3
Scotland,55.8,7.6,2.2,0.7,0.2,0.2
Ivory Coast,61.1,8.1,2.5,0.7,0.2,0.2
Egypt,62.3,8.2,2.8,0.8,0.2,0.2
New Zealand,53.4,5.4,1.6,0.5,0.1,0.1
Jordan,46.0,6.0,1.8,0.5,0.1,0.1
DR Congo,40.2,4.6,1.3,0.3,0.1,0.1
Tunisia,46.3,4.2,1.2,0.3,0.1,0.1
Czech Republic,55.8,5.8,1.6,0.5,0.1,0.1
Sweden,44.6,4.5,1.3,0.3,0.1,0.1
Saudi Arabia,34.9,2.3,0.4,0.1,0.0,0.0
Cape Verde,30.9,1.6,0.4,0.1,0.0,0.0
Curaçao,24.1,1.2,0.2,0.0,0.0,0.0
Haiti,33.8,2.7,0.6,0.1,0.0,0.0
Qatar,30.3,1.0,0.2,0.0,0.0,0.0
Bosnia and Herzegovina,41.9,1.7,0.3,0.0,0.0,0.0
South Africa,33.9,1.9,0.5,0.1,0.0,0.0
Ghana,19.2,1.0,0.1,0.1,0.0,0.0
Iraq,31.2,2.8,0.7,0.1,0.0,0.0
